global_sentence_id,source_id,title,subdomain,paragraph_id,local_sentence_id,language,sentence,num_chars,num_devanagari_chars,num_latin_chars
SENT_0000018,DIAB_001,Diabetes,diabetes,1,18,ne,मधुमेह एक यस्तो रोोग होो जसमा तपाईंकोो शरीरले ऊर्जाकोो लागि तपाईंले खाएकोो खानालाई सही रूपमा प्रयोोग गर्न सक्दैन।,113,96,0
SENT_0000019,DIAB_001,Diabetes,diabetes,1,19,ne,तपाईंकोो कोोशिकाहरूलाई बाँचन र बढ्नकोो लागि ऊर्जा चाहिन्छ।,58,51,0
SENT_0000020,DIAB_001,Diabetes,diabetes,1,20,ne,"जब तपाईंले खानुहुन्छ, खाना गलुकोोज भनिने ऊर्जाकोो रूपमा टुक्रिन्छ।",66,57,0
SENT_0000021,DIAB_001,Diabetes,diabetes,1,21,ne,गलुकोोज भनेकोो चिनीकोो अर्को शब्द होो।,38,33,0
SENT_0000022,DIAB_001,Diabetes,diabetes,1,22,ne,"गलुकोोज तपाईंकोो रगतमा जान्छ, र तपाईंकोो रगतमा चिनी बढ्छछ।",58,49,0
SENT_0000023,DIAB_001,Diabetes,diabetes,1,23,ne,इन्सुलिन तपाईंकोो अग्न्यायाशयद्ारा बनाइने हार्मोोन होो।,55,50,0
SENT_0000024,DIAB_001,Diabetes,diabetes,1,24,ne,"यसले गलुकोोजलाई तपाईंकोो रगतबाट कोोशिकाहरूमा जान मद्दत गर्छ, ताकि तपाईंकोो शरीरले यसलाई ऊर्जाकोो लागि प्रयोोग गर्न सकोोस्।",122,105,0
SENT_0000025,DIAB_001,Diabetes,diabetes,1,25,ne,मान्छे इन्सुलिनबिना बाँचन सक्दैन।,33,30,0
SENT_0000026,DIAB_001,Diabetes,diabetes,1,26,ne,"मधुमेहका प्रकारहरू • टाइप 1 मधुमेहमा, अग्न्यायाशयले इन्सुलिन बनाउँदैदैन।",72,61,0
SENT_0000027,DIAB_001,Diabetes,diabetes,1,27,ne,"• प्रायजसोो हुने मधुमेहकोो प्रकार टाइप 2 मा, अग्न्यायाशयले पर्यााप्त इन्सुलिन बनाउँदैदैन, वा अग्न्यायाशयले बनाएकोो इन्सुलिन तपाईंकोो शरीरले प्रयोोग गर्न सक्दैन।",160,136,0
SENT_0000028,DIAB_001,Diabetes,diabetes,1,28,ne,"पर्यााप्त इन्सुलिन नभएमा, गलुकोोज तपाईंकोो रगतमैै रहन्छ।",56,49,0
SENT_0000029,DIAB_001,Diabetes,diabetes,1,29,ne,"• गर्भाावस्ामा हुने मधुमेह, जसलाई गर्भाावस्ाकोो मधुमेह भनिन्छ, तयसमा आमाले आफ्नोो र बच्ाकोो लागि आवशयक इन्सुलिन पर्यााप्त मात्ामा बनाउन सक्दिनन्।",145,123,0
SENT_0000030,DIAB_001,Diabetes,diabetes,1,30,ne,"• प्रिडाइबेटिजमा, तपाईंकोो गलुकोोज सामानयभन्ा बढी हुन्छ, तर मधुमेह भन्नका लागि पर्यााप्त हुँदैदैन।",98,83,0
SENT_0000031,DIAB_001,Diabetes,diabetes,1,31,ne,"प्रिडाइबेटिजले तपाईंलाई टाइप 2 मधुमेह, हृदयरोोग, र स्ट्रोोककोो खतरा बढाउँछछ।",76,64,0
SENT_0000032,DIAB_001,Diabetes,diabetes,1,32,ne,"सुखद् समाचार योो छछ कि प्रकार 2 मधुमेह जीवनशैैलीमा परिवर्तन गरेर रोोकन वा ढिलाइ गर्न सकिन्छ, जस्तैै वजन घटाएर, स्वस्थकर खाना खाएर, र सक्रिय भएर।",144,116,0
SENT_0000033,DIAB_001,Diabetes,diabetes,1,33,en,2 Diabetes.,11,0,8
SENT_0000034,DIAB_001,Diabetes,diabetes,1,34,en,Nepali.,7,0,6
SENT_0000035,DIAB_001,Diabetes,diabetes,1,35,en,"healthinfotranslations.org Over time, having too much glucose in your blood can cause serious problems.",103,0,87
SENT_0000036,DIAB_001,Diabetes,diabetes,1,36,en,"It can damage your eyes, kidneys, heart, and nerves.",52,0,40
SENT_0000037,DIAB_001,Diabetes,diabetes,1,37,en,"Diabetes can also cause heart disease, stroke, poor circulation, and wounds that do not heal.",93,0,75
SENT_0000038,DIAB_001,Diabetes,diabetes,1,38,en,"When untreated and uncontrolled, these wounds could progress to limb loss.",74,0,62
SENT_0000039,DIAB_001,Diabetes,diabetes,1,39,en,Signs of Diabetes Everyone responds differently to diabetes.,60,0,52
SENT_0000040,DIAB_001,Diabetes,diabetes,1,40,en,"Some of the common warning signs are: • Having to go to the bathroom often to pass urine • Feeling thirsty, even though you are drinking fluids • Losing weight • Blurry vision • Healing is slow for cuts or scrapes on your skin • Feeling tired • Feeling hungry • Being irritable or grumpy Often people may not notice any signs of diabetes.",338,0,264
SENT_0000041,DIAB_001,Diabetes,diabetes,1,41,en,One in four people with diabetes doesn’t know they has it.,58,0,46
SENT_0000042,DIAB_001,Diabetes,diabetes,1,42,en,"If you have any of these signs of diabetes, ask your doctor for a blood test to check your glucose level.",105,0,83
SENT_0000043,DIAB_001,Diabetes,diabetes,1,43,en,The most important blood tests are a fasting blood sugar and an A1C.,68,0,54
SENT_0000044,DIAB_001,Diabetes,diabetes,1,44,en,"• A fasting plasma glucose (FPG) test, also called fasting blood glucose, measures blood sugar.",95,0,75
SENT_0000045,DIAB_001,Diabetes,diabetes,1,45,en,"You will need to fast, so you are not able to eat or drink anything except for water for at least 8 hours before the test.",122,0,94
SENT_0000046,DIAB_001,Diabetes,diabetes,1,46,en,"• An A1C test, also called the hemoglobin A1C, HbA1c, or glycohemoglobin test, measures blood sugar over the last 2 to 3 months.",128,0,95
SENT_0000047,DIAB_001,Diabetes,diabetes,1,47,ne,समयक्रमसँगैै तपाईंकोो रगतमा धेरैै गलुकोोज हुनुले गम्ीर समसयाहरु निम्त्यायाउन सक्छ।,82,73,0
SENT_0000048,DIAB_001,Diabetes,diabetes,1,48,ne,"यसले तपाईंकोो आँखा, मृगौला, मुटु र सनायुलाई क्षति पुर्यााउन सक्छ।",65,54,0
SENT_0000049,DIAB_001,Diabetes,diabetes,1,49,ne,"मधुमेहले हृदयरोोग, स्ट्रोोक, रक्तसञचारमा खराबी, र घाउहरू निकोो नहुने गराउन सक्छ।",80,67,0
SENT_0000050,DIAB_001,Diabetes,diabetes,1,50,ne,"उपचार र नियन्त्रण गरिएन भने, ती घाउहरूले अंगमा हानी गराउन सक्छन्।",65,54,0
SENT_0000051,DIAB_001,Diabetes,diabetes,1,51,ne,मधुमेहका संकेतहरू मधुमेहकोो प्रतिक्रिया व्यक्तिपिच्े फरक हुन्छ।,63,57,0
SENT_0000052,DIAB_001,Diabetes,diabetes,1,52,ne,प्रायजसोो देखिने चेतावनीका संकेतहरुमाः • पिसाब फेर्न बारमबार शौचालय जानुपर्ने • तरल पदार्थ खाँदाखाँदैदै पनि तिर्खाा लागनु • दुबलाउनु • धमिलोो दृष्टि • तपाईंकोो छछालामा काटेकोो वा कोतरिएकोो निकोो हुन ढिलोो हुने • थकित महसुस हुनु • भोोक लागनु।,241,196,0
SENT_0000053,DIAB_001,Diabetes,diabetes,1,53,ne,• चिडचिडाहट वा रिसाहा हुनु प्रायः मानिसहरूले मधुमेहका कुनैै पनि संकेतहरू याद नहुन सक्छ।,87,73,0
SENT_0000054,DIAB_001,Diabetes,diabetes,1,54,ne,मधुमेह भएका चारमधये एक जनालाई आफूलाई योो छछ भन्ने थाहा हुँदैदैन।,64,54,0
SENT_0000055,DIAB_001,Diabetes,diabetes,1,55,ne,"यदि तपाईंमा मधुमेहका यी लक्षणहरू छछन् भने, आफ्नोो चिकितसकलाई गलुकोोजकोो स्तर जाँच गर्न रगत परीक्षणकोो लागि भन्नुहोोस्।",118,101,0
SENT_0000056,DIAB_001,Diabetes,diabetes,1,56,ne,सबैैभन्ा महत्वपूर्ण रक्त परीक्षणहरूमा फास्टिङ बलड सुगर र A1C हुन्।,66,54,2
SENT_0000057,DIAB_001,Diabetes,diabetes,1,57,ne,"• खाली पेटमा गरिने पलाजमा गलुकोोज (FPG) परीक्षण, जसलाई फास्टिङ बलड गलुकोोज पनि भनिन्छ, रगतमा चिनीकोो मात्ा नाप्छ।",113,88,3
SENT_0000058,DIAB_001,Diabetes,diabetes,1,58,ne,"तपाईंले खाली पेट बसनुपर्छ, तयसैैले परीक्षण गर्नुभन्ा कम्तिमा 8 घणटा अघिदेखि तपाईंले पानीबाहेक केही पनि खान वा पिउन सकनुहुन्न।",125,105,0
SENT_0000059,DIAB_001,Diabetes,diabetes,1,59,ne,"• A1C परीक्षण, जसलाई हेमोोग्लोबिन A1C, HbA1c, वा गलाइकोोहेमोोग्लोबिन परीक्षण पनि भनिन्छ, जसले पछिल्लोो 2 देखि 3 महिनामा रगतमा चिनीकोो मात्ा मापन गर्दछछ।",152,112,8
SENT_0000060,DIAB_001,Diabetes,diabetes,1,60,en,3 Diabetes.,11,0,8
SENT_0000061,DIAB_001,Diabetes,diabetes,1,61,en,Nepali.,7,0,6
SENT_0000062,DIAB_001,Diabetes,diabetes,1,63,en,"Unless otherwise stated, user may print or download information from www.healthinfotranslations.org for personal, non-commercial use only.",138,0,117
SENT_0000063,DIAB_001,Diabetes,diabetes,1,64,en,The medical information found on this website should not be used in place of a consultation with your doctor or other health care provider.,139,0,115
SENT_0000064,DIAB_001,Diabetes,diabetes,1,65,en,You should always seek the advice of your doctor or other qualified health care provider before you start or stop any treatment or with any questions you may have about a medical condition.,189,0,156
SENT_0000065,DIAB_001,Diabetes,diabetes,1,66,en,"The Ohio State University Wexner Medical Center, Mount Carmel Health System, OhioHealth and Nationwide Children’s Hospital are not responsible for injuries or damages you may incur as a result of your stopping medical treatment or your failure to obtain treatment.",264,0,221
SENT_0000066,DIAB_001,Diabetes,diabetes,1,67,en,Your Care The goal is to keep your glucose level as near to normal as possible.,79,0,63
SENT_0000067,DIAB_001,Diabetes,diabetes,1,68,en,"Your care may include: • Planning meals • Testing glucose levels • Learning signs to know when your glucose level is too low or too high • Exercising • Maintaining a healthy weight • Taking medicine – insulin or pills • Keeping all appointments with your health care team • Attending diabetes education classes Talk to your doctor, nurse, dietitian, and pharmacist to learn how to manage your diabetes.",402,0,320
SENT_0000068,DIAB_001,Diabetes,diabetes,1,69,ne,तपाईंको हेरचाह तपाईंकोो गलुकोोजस्तरलाई सकेसमम सामानयकोो नजिक राखने लक्य होो।,76,67,0
SENT_0000069,DIAB_001,Diabetes,diabetes,1,70,ne,तपाईंकोो हेरचाहमा निमन समावेश हुन सक्नेछछ: • भोोजन योोजना • गलुकोोजस्तर परीक्षण • आफ्नोो गलुकोोजस्तर धेरैै कम वा धेरैै बढी हुँदा देखिने संकेतहरूका बारेमा जान्ने • व्यायाम गर्ने • स्वस्थ तौल कायम राखने।,201,163,0
SENT_0000070,DIAB_001,Diabetes,diabetes,1,71,ne,"• औषधि खाने – इन्सुलिन वा चक्की • आफ्नोो सवास्य हेरचाह टोोलीसँगका सबैै भेटघाटहरूमा जाने • मधुमेहसमबन्ी चेतनामूलक कक्षाहरूमा भाग लिने आफ्नोो मधुमेह कसरी व्यवस्ापन गर्ने भनेर जान्नकोो लागि आफ्नोो डाकटर, नर्स, आहार विशेषज्ञ र फार्मासिसटसँग कुरा गर्नुहोोस्।",253,210,0
SENT_0000071,DIAB_002,Diabetes and Wound Healing,diabetes,1,1,en,Diabetes and Wound Healing.,27,0,23
SENT_0000072,DIAB_002,Diabetes and Wound Healing,diabetes,1,2,en,Nepali.,7,0,6
SENT_0000073,DIAB_002,Diabetes and Wound Healing,diabetes,1,3,en,Diabetes and Wound Healing मधुमेह र घाउ निको हुने प्रक्रिया Diabetes is a condition where the body is not able to use the insulin or there is not enough insulin in the body to control blood sugar levels.,203,27,138
SENT_0000074,DIAB_002,Diabetes and Wound Healing,diabetes,1,4,en,Having an injury or an illness can change your body’s insulin needs and make it harder to control your blood sugar.,115,0,93
SENT_0000075,DIAB_002,Diabetes and Wound Healing,diabetes,1,5,en,High blood sugar can slow healing and put you at risk for infection.,68,0,55
SENT_0000076,DIAB_002,Diabetes and Wound Healing,diabetes,1,6,en,Check your blood sugar and work to keep it in a normal range.,61,0,48
SENT_0000077,DIAB_002,Diabetes and Wound Healing,diabetes,1,7,en,"Talk to your doctor, nurse or diabetes educator for help to manage your diabetes.",81,0,66
SENT_0000078,DIAB_002,Diabetes and Wound Healing,diabetes,1,8,en,"Wound Problems with Diabetes If your diabetes is not controlled and you often have high blood sugar, you are at greater risk for: • Skin breaks or ulcers in the skin.",166,0,132
SENT_0000079,DIAB_002,Diabetes and Wound Healing,diabetes,1,9,en,• Slow healing of wounds from poor blood flow.,46,0,36
SENT_0000080,DIAB_002,Diabetes and Wound Healing,diabetes,1,10,en,• Small scrapes or blisters becoming infected wounds.,53,0,44
SENT_0000081,DIAB_002,Diabetes and Wound Healing,diabetes,1,11,en,• Nerve damage that causes loss of feeling in your hands or feet.,65,0,51
SENT_0000082,DIAB_002,Diabetes and Wound Healing,diabetes,1,12,en,You may not feel any pain or pressure to make you aware that you have a sore or other injury to your hand or foot.,114,0,89
SENT_0000083,DIAB_002,Diabetes and Wound Healing,diabetes,1,13,en,"What You Can Do Protect Your Skin • Check your skin each day for any cuts, scrapes, boils or blisters.",102,0,79
SENT_0000084,DIAB_002,Diabetes and Wound Healing,diabetes,1,14,en,Look for red or bruised spots.,30,0,24
SENT_0000085,DIAB_002,Diabetes and Wound Healing,diabetes,1,15,en,Use a mirror to view hard to see areas like the bottom of your feet.,68,0,53
SENT_0000086,DIAB_002,Diabetes and Wound Healing,diabetes,1,16,ne,मधुमेह एक यस्ो अवस्ा हो जसमा शरीरले इन्सुलिनको प्रयोग गर्न सक्दैन अथवा रगतमा चिनीको स्तरलाई नियन्त्रित गर्नका लागि पर्याप्त इन्सुलिन हुँदैन।,140,120,0
SENT_0000087,DIAB_002,Diabetes and Wound Healing,diabetes,1,17,ne,चोटपटक लाग्ाले वा बिरामी पर्नाले तपाईँँको शरीरलाई इन्सुलिनको आवशयकतामा परिवर्तन हुन सक्छ र तपाईँँको रगतमा चिनीको स्तर नियन्त्रण गर्नु गाह्ो पर्छ।,145,125,0
SENT_0000088,DIAB_002,Diabetes and Wound Healing,diabetes,1,18,ne,रगतमा चिनीको उच्च स्तरले निको हुने प्रक्रिया ढिलो हुन्छ र तपाईँँलाई संक्रमणको जोखिम बढ्छ।,89,76,0
SENT_0000089,DIAB_002,Diabetes and Wound Healing,diabetes,1,19,ne,आफ्नो रगतमा चिनीको स्तरको जाँच गर्नुहोस् र यसलाई सामानय स्तरमा राख्े काम गर्नुहोस्।,83,71,0
SENT_0000090,DIAB_002,Diabetes and Wound Healing,diabetes,1,20,ne,"तपाईँँको मधुमेहको प्रबन्धनका लागि आफ्ना डकटर, नर्स वा मधुमेह परामर्शदाताको मद्दत लिनुहोस्।",90,78,0
SENT_0000091,DIAB_002,Diabetes and Wound Healing,diabetes,1,21,ne,मधुमेहमा घाउ-खटिराको समसया तपाईँँको मधुमेहमाथि नियन्त्रण गरिएन र तपाईँँको रगतमा चिनीको स्तर प्रायः उच्च हुन्छ भने तपाईँँलाई निम्न कुराहरू हुने जोखिम हुन्छ: • छछ ाला उछ्रिनु वा छछालामा अलसर।,189,158,0
SENT_0000092,DIAB_002,Diabetes and Wound Healing,diabetes,1,22,ne,• रक्त प्रवाह कमजोड हुनाले घाउ निको हुनमा ढिलयाइँँ।,51,42,0
SENT_0000093,DIAB_002,Diabetes and Wound Healing,diabetes,1,23,ne,• अलिकति खोस्रिएको वा फोकाहरू संक्रमित घाउहरूमा परिवर्तित हुनु।,63,54,0
SENT_0000094,DIAB_002,Diabetes and Wound Healing,diabetes,1,24,ne,• नसालाई क्षति जसको कारणले तपाईँँका हात वा खुट्ामा अनुभूति हराउँछछ ।,68,56,0
SENT_0000095,DIAB_002,Diabetes and Wound Healing,diabetes,1,25,ne,तपाईँँका हात वा खुट्ामा कुनैै घाउ वा अनय चोटपटक लागेको छछ भन्े पीडा वा कुनैै दबावको तपाईँँलाई अनुभूति नहुन सक्छ।,112,93,0
SENT_0000096,DIAB_002,Diabetes and Wound Healing,diabetes,1,26,ne,"तपाईँँले के गर्न सक्ुहुन्छ आफ्नो छछालाको सुरक्षा गर्नुहोस् • तपाईँँको छछालामा कुनैै काटिएको, खोस्रिएको, फोडा वा फोकाफोकी त छैनन ् भनेर दिन्दिनैै जाँँच्नुहोस्।",158,133,0
SENT_0000097,DIAB_002,Diabetes and Wound Healing,diabetes,1,27,ne,रातो वा खोस्रिएको ठाउँँहरू हेर्नुहोस्।,38,34,0
SENT_0000098,DIAB_002,Diabetes and Wound Healing,diabetes,1,28,ne,आफ्नो पैताला जस्ा हेर्न गाह्ो पर्ने ठाउँँहरू हेर्नका लागि ऐनाको प्रयोग गर्नुहोस्।,81,70,0
SENT_0000099,DIAB_002,Diabetes and Wound Healing,diabetes,1,29,en,2 Diabetes and Wound Healing.,29,0,23
SENT_0000100,DIAB_002,Diabetes and Wound Healing,diabetes,1,30,en,Nepali.,7,0,6
SENT_0000101,DIAB_002,Diabetes and Wound Healing,diabetes,1,31,en,healthinfotranslations.org ÌÌ Use a moisturizing lotion on your skin that does not have perfumes or alcohol in it.,114,0,93
SENT_0000102,DIAB_002,Diabetes and Wound Healing,diabetes,1,32,en,ÌÌ Wear gloves and clothing to protect your skin from cuts or scrapes.,70,0,55
SENT_0000103,DIAB_002,Diabetes and Wound Healing,diabetes,1,33,en,ÌÌ Wear shoes that fit well and cotton socks that absorb moisture.,66,0,52
SENT_0000104,DIAB_002,Diabetes and Wound Healing,diabetes,1,34,en,"Treat Any Wounds • If you have a wound, clean it right away.",60,0,45
SENT_0000105,DIAB_002,Diabetes and Wound Healing,diabetes,1,35,en,Rinse the skin for several minutes under water to remove dirt and germs.,72,0,59
SENT_0000106,DIAB_002,Diabetes and Wound Healing,diabetes,1,36,en,Use a mild soap to clean.,25,0,19
SENT_0000107,DIAB_002,Diabetes and Wound Healing,diabetes,1,37,en,Do not use hydrogen peroxide or iodine that can injure the skin.,64,0,52
SENT_0000108,DIAB_002,Diabetes and Wound Healing,diabetes,1,38,en,• Apply an antibiotic cream or ointment.,40,0,32
SENT_0000109,DIAB_002,Diabetes and Wound Healing,diabetes,1,39,en,You can find antibiotic cream or ointment at grocery or drug stores.,68,0,56
SENT_0000110,DIAB_002,Diabetes and Wound Healing,diabetes,1,40,en,Ask the pharmacist to help you find it.,39,0,31
SENT_0000111,DIAB_002,Diabetes and Wound Healing,diabetes,1,41,en,• Cover the wound with a sterile bandage or band-aid to keep it clean and protected until it heals.,99,0,78
SENT_0000112,DIAB_002,Diabetes and Wound Healing,diabetes,1,42,en,The bandage should be about an inch larger than the wound to be sure the wound is covered on all sides.,103,0,82
SENT_0000113,DIAB_002,Diabetes and Wound Healing,diabetes,1,43,en,ÌÌ Change the bandage each day or anytime it is wet or soiled.,62,0,47
SENT_0000114,DIAB_002,Diabetes and Wound Healing,diabetes,1,44,en,"ÌÌ Check daily for signs of infection such as redness, warmth, swelling or a change in drainage from the wound site.",116,0,91
SENT_0000115,DIAB_002,Diabetes and Wound Healing,diabetes,1,45,en,• Keep pressure off the wound as it heals.,42,0,32
SENT_0000116,DIAB_002,Diabetes and Wound Healing,diabetes,1,46,en,Protect the area by wearing clothing to keep dirt and germs away.,65,0,53
SENT_0000117,DIAB_002,Diabetes and Wound Healing,diabetes,1,47,en,Modify exercise as needed until the skin heals.,47,0,39
SENT_0000118,DIAB_002,Diabetes and Wound Healing,diabetes,1,48,en,"• If a wound is not healing or looks worse, call your doctor.",61,0,46
SENT_0000119,DIAB_002,Diabetes and Wound Healing,diabetes,1,49,en,You need to have your wound checked for infection.,50,0,41
SENT_0000120,DIAB_002,Diabetes and Wound Healing,diabetes,1,50,ne,▸ आफ्नो छछालामा मोइस्चराइजिङग लोशनको प्रयोग गर्नुहोस् जसमा कुनैै सुगन्धित द्रव्य वा अलकोहल नहोस्।,97,83,0
SENT_0000121,DIAB_002,Diabetes and Wound Healing,diabetes,1,51,ne,▸ तपाईँँका छछालालाई काटिन वा खोस्रिनबाट बचाउनका लागि दस्ताना र लुगाहरू लगाउनुहोस्।,82,70,0
SENT_0000122,DIAB_002,Diabetes and Wound Healing,diabetes,1,52,ne,▸ राम्ररी फिट हुने जुत्ा र नमी सोस्े सूतिका मोजा लगाउनुहोस्।,60,49,0
SENT_0000123,DIAB_002,Diabetes and Wound Healing,diabetes,1,53,ne,कुनैैपनि घाउको उपचार गर्नुहोस् • तपाईँँको शरीरमा कुनैै घाउ छछ भने तयसलाई तुरुन्तैै सफफा गर्नुहोस्।,98,83,0
SENT_0000124,DIAB_002,Diabetes and Wound Healing,diabetes,1,54,ne,तयो छछालाबाट धूलोमाटो र विषाणुहरू हटाउनका लागि कैैयौं मिनेटसमम पानीले पखाल्नुहोस्।,82,72,0
SENT_0000125,DIAB_002,Diabetes and Wound Healing,diabetes,1,55,ne,सफफा गर्नका लागि हलका किसि मको साबुनको प्रयोग गर्नुहोस्।,56,48,0
SENT_0000126,DIAB_002,Diabetes and Wound Healing,diabetes,1,56,ne,हाइड्ोजन पेरोकसाइड वा आयोडिनको प्रयोग नगर्नुहोस् किनकि तिनले छछ ालालाई नोक्सानी पुऱयाउन सक्छन्।,95,83,0
SENT_0000127,DIAB_002,Diabetes and Wound Healing,diabetes,1,57,ne,• एन्टिबायोटिक क्रीम वा ओइनटमेनट लगाउनुहोस्।,44,38,0
SENT_0000128,DIAB_002,Diabetes and Wound Healing,diabetes,1,58,ne,तपाईँँले एन्टिबायोटिक क्रीम वा ओइनटमेनट किराना पसल वा औषधी-पसलमा पाउन सक्ुहुन्छ।,80,69,0
SENT_0000129,DIAB_002,Diabetes and Wound Healing,diabetes,1,59,ne,तयसका लागि फार्मासिसटको मद्दत लिनुहोस्।,39,35,0
SENT_0000130,DIAB_002,Diabetes and Wound Healing,diabetes,1,60,ne,• निको नहुँदासमम घाउलाई सफफा र सुरक्षित राख्नका लागि घाउलाई रोगाणुमुक्त पट्ी वा बयानड एडले ढाक्ुहोस्।,101,85,0
SENT_0000131,DIAB_002,Diabetes and Wound Healing,diabetes,1,61,ne,पट्ी घाउभन्ा एक इन्च जति ठूलो हुनु पर्दछछ जसले घाउलाई सबैतिरबाट ढाक्न सकोस्।,76,64,0
SENT_0000132,DIAB_002,Diabetes and Wound Healing,diabetes,1,62,ne,▸ पट्ी हरेक दिन वा तयो गिलो वा मैैला हुने बित्तिकैै फेर्नुहोस्।,63,51,0
SENT_0000133,DIAB_002,Diabetes and Wound Healing,diabetes,1,63,ne,"▸ घाउ भएको ठाउँँमा रातोपन, तात्तिएको, सुन्निएको वा तयसबाट पीप आदिको स्राव जस्ा संक्रमणका लक्षणहरूको दिन्दिनैै जाँच गर्नुहोस्।",125,105,0
SENT_0000134,DIAB_002,Diabetes and Wound Healing,diabetes,1,64,ne,• घाउ निको हुँदैदै जाँदा घाउमाथि दबाव कम गर्नुहोस्।,51,42,0
SENT_0000135,DIAB_002,Diabetes and Wound Healing,diabetes,1,65,ne,घाउ भएको ठाउँँलाई धुलोमाटो र रोगाणुहरूबाट बचाउने किसि मले लुगाहरू लगाउनुहोस्।,77,67,0
SENT_0000136,DIAB_002,Diabetes and Wound Healing,diabetes,1,66,ne,छछाला निको नहुँदासमम आवशयकता अनुसार व्यायाममा सुधार गर्नुहोस्।,62,55,0
SENT_0000137,DIAB_002,Diabetes and Wound Healing,diabetes,1,67,ne,• घाउ निको भइरहेको छैन वा झनैै बिग्ेर गएको देखिन्छ भने डकटरलाई देखाउनुहोस्।,75,62,0
SENT_0000138,DIAB_002,Diabetes and Wound Healing,diabetes,1,68,ne,तपाईँँको घाउमा संक्रमणको जाँच गरिनु जरूरी हुन्छ।,48,42,0
SENT_0000139,DIAB_002,Diabetes and Wound Healing,diabetes,1,69,en,3 healthinfotranslations.org Diabetes and Wound Healing.,56,0,48
SENT_0000140,DIAB_002,Diabetes and Wound Healing,diabetes,1,70,en,Nepali.,7,0,6
SENT_0000141,DIAB_002,Diabetes and Wound Healing,diabetes,1,71,en,"Eat a Healthy Diet Your body needs more calories, protein, vitamins A and C, and the mineral zinc to help with the healing process.",131,0,104
SENT_0000142,DIAB_002,Diabetes and Wound Healing,diabetes,1,72,en,"Talk to your doctor, dietitian or diabetes educator about your diet or medicines while your body heals.",103,0,85
SENT_0000143,DIAB_002,Diabetes and Wound Healing,diabetes,1,73,en,"• Eat a variety of foods for a balanced diet, so you get enough calories, protein, vitamins and minerals.",105,0,82
SENT_0000144,DIAB_002,Diabetes and Wound Healing,diabetes,1,74,en,• Increase your protein intake.,31,0,25
SENT_0000145,DIAB_002,Diabetes and Wound Healing,diabetes,1,75,en,Eating too little protein can delay or affect how well the wound heals.,71,0,58
SENT_0000146,DIAB_002,Diabetes and Wound Healing,diabetes,1,76,en,ÌÌ Eat at least 2 to 3 servings each day.,41,0,27
SENT_0000147,DIAB_002,Diabetes and Wound Healing,diabetes,1,77,en,"A serving equals 2 to 3 ounces of meat, 1 cup of cooked beans, 1 egg or 2 tablespoons of peanut butter.",103,0,74
SENT_0000148,DIAB_002,Diabetes and Wound Healing,diabetes,1,78,en,ÌÌ Try to eat protein-rich foods at every meal and snack.,57,0,43
SENT_0000149,DIAB_002,Diabetes and Wound Healing,diabetes,1,79,en,"Foods high in protein include meat, poultry, fish, eggs, milk, cheeses, peas, nuts and soy foods.",97,0,74
